"ID","Canonical_ID"
"UCD___EAE 126",1
"UCD___EAE 127",2
"UCD___EAE 129",3
"UCD___EAE 130A",4
"UCD___EAE 130B",5
"UCD___EAE 133",6
"UCD___EAE 135",7
"UCD___EAE 137",8
"UCD___EAE 138",9
"UCD___EAE 140",10
"UCD___EAE 142",11
"UCD___EAE 143A",12
"UCD___EAE 143B",13
"UCD___EAE 189C",14
"UCD___AAS 010",15
"UCD___AAS 012",16
"UCD___AAS 015",17
"UCD___AAS 016",18
"UCD___AAS 017",19
"UCD___AAS 018",20
"UCD___AAS 050",21
"UCD___AAS 051",22
"UCD___AAS 052",23
"UCD___AAS 053",24
"UCD___AAS 080",25
"UCD___AAS 083",26
"UCD___AAS 100",27
"UCD___AAS 101",28
"UCD___AAS 103",29
"UCD___AAS 107A",30
"UCD___AAS 107B",31
"UCD___AAS 107C",32
"UCD___AAS 107D",33
"UCD___AAS 110",34
"UCD___AAS 111",35
"UCD___AAS 115",36
"UCD___AAS 115V",37
"UCD___AAS 116",38
"UCD___AAS 120",39
"UCD___AAS 123",40
"UCD___AAS 130",41
"UCD___AAS 133",42
"UCD___AAS 136",43
"UCD___AAS 138",44
"UCD___AAS 141",45
"UCD___AAS 145A",46
"UCD___AAS 145B",47
"UCD___AAS 150A",48
"UCD___AAS 150B",49
"UCD___AAS 151",50
"UCD___AAS 152",51
"UCD___AAS 153",52
"UCD___AAS 155A",53
"UCD___AAS 156",54
"UCD___AAS 157",55
"UCD___AAS 160",56
"UCD___AAS 162",57
"UCD___AAS 163",58
"UCD___AAS 165",59
"UCD___AAS 168",60
"UCD___AAS 169",61
"UCD___AAS 170",62
"UCD___AAS 171",63
"UCD___AAS 172",64
"UCD___AAS 175A",65
"UCD___AAS 175B",66
"UCD___AAS 176",67
"UCD___AAS 177",68
"UCD___AAS 178",69
"UCD___AAS 179",70
"UCD___AAS 180",71
"UCD___AAS 181",72
"UCD___AAS 182",73
"UCD___AAS 183A",74
"UCD___AAS 183B",75
"UCD___AAS 185",76
"UCD___AAS 190",77
