"Match Label","Course A Canonical","Course A Subject","Course A Code","Course A Title","Course A Description","Course B Canonical","Course B Subject","Course B Code","Course B Title","Course B Description"
2,3748,"Statistics","UCD___STA 131A","Introduction to Probability Theory","Fundamental concepts of probability theory, discrete and continuous random variables, standard distributions, moments and moment-generating functions, laws of large numbers and the central limit theorem.",9464,"Statistics","UCLA___STATS 100A","Introduction to Probability","Students may receive credit for only two of following: course 100A, former course 110A, Biostatistics 100A. Probability distributions, random variables, vectors, and expectation."
2,2057,"Hindi","UCD___HND 001","Elementary Hindi","Introduction to basic conversation, word structure, and literacy in the Hindi form of Hindi/Urdu using the Devanagari script in the context of the shared culture of Hindi/Urdu.",6997,"Hindi-Urdu","UCLA___HIN-URD 1","Introductory Hindi-Urdu","Coverage of basic Hindi grammar, with equal emphasis on reading, writing, conversation, and comprehension."
1,12828,"Chemistry and Biochemistry","UCSC___CHEM 3A","General Chemistry","The first course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include atomic theory and structure, the periodic table, chemical bonding, molecules and their structure, intramolecular forces, and chemical reactions and stoichiometry.",677,"Chemistry","UCD___CHE 002A","General Chemistry","Periodic table, stoichiometry, chemical equations, physical properties and kinetic theory of gases, chemical equilibrium, acids and bases. Laboratory experiments in stoichiometric relations, properties and collection of gases, atomic spectroscopy, introductory quantitative analysis and acids and bases."
2,12831,"Chemistry and Biochemistry","UCSC___CHEM 8A","Organic Chemistry","Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds.",4838,"Chemistry and Biochemistry","UCLA___CHEM 30A","Organic Chemistry I: Structure and Reactivity","First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions."
2,12831,"Chemistry and Biochemistry","UCSC___CHEM 8A","Organic Chemistry","Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds.",10257,"Chemistry","UCI___CHEM 51A","Organic Chemistry","Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds."
2,12831,"Chemistry and Biochemistry","UCSC___CHEM 8A","Organic Chemistry","Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds.",712,"Chemistry","UCD___CHE 128A","Organic Chemistry","Introduction to the basic concepts of organic chemistry with emphasis on stereochemistry and the chemistry of hydrocarbons. Designed primarily for majors in chemistry. Chemistry majors should enroll in CHE 129A concurrently."
2,712,"Chemistry","UCD___CHE 128A","Organic Chemistry","Introduction to the basic concepts of organic chemistry with emphasis on stereochemistry and the chemistry of hydrocarbons. Designed primarily for majors in chemistry. Chemistry majors should enroll in CHE 129A concurrently.",4838,"Chemistry and Biochemistry","UCLA___CHEM 30A","Organic Chemistry I: Structure and Reactivity","First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions."
2,712,"Chemistry","UCD___CHE 128A","Organic Chemistry","Introduction to the basic concepts of organic chemistry with emphasis on stereochemistry and the chemistry of hydrocarbons. Designed primarily for majors in chemistry. Chemistry majors should enroll in CHE 129A concurrently.",10257,"Chemistry","UCI___CHEM 51A","Organic Chemistry","Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds."
2,4838,"Chemistry and Biochemistry","UCLA___CHEM 30A","Organic Chemistry I: Structure and Reactivity","First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions.",10257,"Chemistry","UCI___CHEM 51A","Organic Chemistry","Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds."
1,10856,"Economics","UCI___ECON 116","Game Theory ","Extensive form games with perfect information and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",12983,"Economics","UCSC___ECON 166A","Game Theory and Applications I","Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques."
