Topic,Match Label,Difficulty Category,University A,Course A Subject,Course A Code,Course A Title,Course A Description,University B,Course B Subject,Course B Code,Course B Title,Course B Description,Annotator Initials,Notes
Prob Theory,2,easy,UCD,STA,131A,Introduction to Probability Theory,"Fundamental concepts of probability theory, discrete and continuous random variables, standard distributions, moments and moment-generating functions, laws of large numbers and the central limit theorem.",UCLA,STATS,100A,Introduction to Probability,"Probability distributions, random variables, vectors, and expectation.",TT,
Hindi,2,easy,UCD,HND,001,Elementary Hindi,"Introduction to basic conversation, word structure, and literacy in the Hindi form of Hindi/Urdu using the Devanagari script in the context of the shared culture of Hindi/Urdu.",UCLA,HIN-URD,1,Introductory Hindi-Urdu,"Coverage of basic Hindi grammar, with equal emphasis on reading, writing, conversation, and comprehension.",TT,
Chem,1,easy,UCSC,CHEM,3A,General Chemistry,"The first course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include atomic theory and structure, the periodic table, chemical bonding, molecules and their structure, intramolecular forces, and chemical reactions and stoichiometry.",UCD,CHE,002A,General Chemistry,"Periodic table, stoichiometry, chemical equations, physical properties and kinetic theory of gases, chemical equilibrium, acids and bases. Laboratory experiments in stoichiometric relations, properties and collection of gases, atomic spectroscopy, introductory quantitative analysis and acids and bases.",TT,
OChem,2,easy,UCSC,CHEM,8A,Organic Chemistry,"Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds.",UCLA,CHEM,30A,Organic Chemistry I: Structure and Reactivity,"First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions.",TT,
OChem,2,easy,UCSC,CHEM,8A,Organic Chemistry,"Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds.",UCI,CHEM,51A,Organic Chemistry.,"Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds.",TT,
OChem,2,easy,UCSC,CHEM,8A,Organic Chemistry,"Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds.",UCD,CHE,128A,Organic Chemistry,Introduction to the basic concepts of organic chemistry with emphasis on stereochemistry and the chemistry of hydrocarbons. Designed primarily for majors in chemistry. Chemistry majors should enroll in CHE 129A concurrently.,TT,
OChem,2,easy,UCD,CHE,128A,Organic Chemistry,Introduction to the basic concepts of organic chemistry with emphasis on stereochemistry and the chemistry of hydrocarbons. Designed primarily for majors in chemistry. Chemistry majors should enroll in CHE 129A concurrently.,UCLA,CHEM,30A,Organic Chemistry I: Structure and Reactivity,"First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions.",TT,
OChem,2,easy,UCD,CHE,128A,Organic Chemistry,Introduction to the basic concepts of organic chemistry with emphasis on stereochemistry and the chemistry of hydrocarbons. Designed primarily for majors in chemistry. Chemistry majors should enroll in CHE 129A concurrently.,UCI,CHEM,51A,Organic Chemistry.,"Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds.",TT,
OChem,2,easy,UCLA,CHEM,30A,Organic Chemistry I: Structure and Reactivity,"First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions.",UCI,CHEM,51A,Organic Chemistry.,"Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds.",TT,
Game Theory,1,niche,UCI,ECON,116,Game Theory .,"Extensive form games with perfect information and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",UCSC,ECON,166A,Game Theory and Applications I,"Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques.",TT,
Game Theory,1,niche,UCI,ECON,116,Game Theory .,"Extensive form games with perfect information and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",UCD,ECN,122,Theory of Games & Strategic Behavior,"Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.",TT,
Game Theory,1,niche,UCSC,ECON,166A,Game Theory and Applications I,"Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques.",UCD,ECN,122,Theory of Games & Strategic Behavior,"Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.",TT,
Game Theory,1,niche,UCI,ECON,116,Game Theory .,"Extensive form games with perfect information and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",UCLA,ECON,106G,Introduction to Game Theory,"Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations.",TT,
Game Theory,1,niche,UCLA,ECON,106G,Introduction to Game Theory,"Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations.",UCSC,ECON,166A,Game Theory and Applications I,"Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques.",TT,
Game Theory,1,niche,UCLA,ECON,106G,Introduction to Game Theory,"Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations.",UCD,ECN,122,Theory of Games & Strategic Behavior,"Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.",TT,
Game Theory,0,negative,UCD,CDM,172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",UCLA,MATH,167,Mathematical Game Theory,"Quantitative modeling of strategic interaction. Topics include extensive and normal form games, background probability, lotteries, mixed strategies, pure and mixed Nash equilibria and refinements, bargaining; emphasis on economic examples. Optional topics include repeated games and evolutionary game theory.",TT,
Game Theory,2,easy,UCD,ECN,122,Theory of Games & Strategic Behavior,"Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.",UCLA,MATH,167,Mathematical Game Theory,"Quantitative modeling of strategic interaction. Topics include extensive and normal form games, background probability, lotteries, mixed strategies, pure and mixed Nash equilibria and refinements, bargaining; emphasis on economic examples. Optional topics include repeated games and evolutionary game theory.",TT,
Game Theory,1,niche,UCI,ECON,113,Game Theory of Human Cooperation and Morality.,"Teaches how game theory is used to understand human cooperation and morality. Covers basic game-theoretic concepts and analysis, how they illuminate what it means to be moral, and how prosocial human dispositions evolved.",UCSC,ECON,166A,Game Theory and Applications I,"Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques.",TT,
Game Theory,1,niche,UCI,ECON,113,Game Theory of Human Cooperation and Morality.,"Teaches how game theory is used to understand human cooperation and morality. Covers basic game-theoretic concepts and analysis, how they illuminate what it means to be moral, and how prosocial human dispositions evolved.",UCD,ECN,122,Theory of Games & Strategic Behavior,"Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.",TT,
Games,0,negative,UCD,CDM,172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",UCI,GDIM,25,Game Design Fundamentals.,Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.,TT,
Games,1,mid,UCSC,CMPM,171,Game Design Studio,"Students work in teams to create a fully-functional subset (''vertical slice'') of an interactive, playable software system. Focus is on experience design, systems design, integrating assets (visual, auditory, and written), testing, and project management.",UCI,GDIM,25,Game Design Fundamentals.,Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.,TT,
Games,1,mid,UCLA,DESMA,125,Game Design,"Introduction to game design, with focus on developing conceptual and practical skills that form basis for both digital and nondigital game development. Development of four playable game projects that explore various aspects of game design: rule design, game balance, multiplayer strategy, complexity, randomness, polemics, narrative, physical interaction, and aesthetic and pragmatic aspects of physical game design.",UCI,GDIM,27,Intermediate Game Design.,"More advanced study of game design principles and systems design through the study of complex problems and play experiences. Topics include economies, game balancing, level design, prototyping, stat design, playtesting, and design documentation.",TT,
Games,2,easy,UCI,GDIM,61,Introduction to Game Development.,"Introduction to the design and development of games. Includes core concepts in software development, team management, leadership, and project management.",UCD,CDM,177,Introduction to Game Programming,Introduction to computer science concepts and programming practices for video games.,TT,
Games,1,mid,UCI,GDIM,25,Game Design Fundamentals.,Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.,UCD,ENL,170,Narrative Game Design,"Narrative game design. Character, dialogue, environmental storytelling, procedurally-generated text, play as narrative. Workshop, critique, and publish narrative and text-based games.",TT,
Games,2,easy,UCI,GDIM,25,Game Design Fundamentals.,Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.,UCD,CDM,173,Introduction to Analog Game Design,"Fundamental theories and practices of analog game design. Pen & paper, dice & cards, checkers & chess to riddles & stories, track & field, and other forms of play. Prototype, playtest, and presentation of original analog games.",TT,
Games,0,negative,UCD,ENL,072,Introduction to Games,"Introduction to the history, theory, and practice of play. Survey of both analog and digital games. Overview of gaming cultures, aesthetics, industries, and technologies.",UCLA,ECON,106G,Introduction to Game Theory,"Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations.",TT,
Astrophysics,1,mid,UCLA,ASTR,81,Fundamentals of Astrophysics,"Students develop understanding of fundamental physical concepts such as gravity and radiation, and how these concepts connect to stars and planets. Overview of stars and stellar evolution, and tools and methods important to astrophysics such as telescopes and spectroscopy.",UCD,AST,025,Introduction to Modern Astronomy & Astrophysics,"Description and interpretation of astronomical phenomena using the laws of modern physics and observations by modern astronomical instruments. Gravity, relativity, electromagnetic radiation, atomic and nuclear processes in relation to the structure and evolution of stars, galaxies and the universe.",TT,
Linalg,2,easy,UCD,MAT,022A,Linear Algebra,"Matrices and linear transformations, determinants, eigenvalues, eigenvectors, diagonalization, factorization.",UCI,MATH,3A,Introduction to Linear Algebra.,"Systems of linear equations, matrix operations, determinants, eigenvalues and eigenvectors, vector spaces, subspaces, and dimension.",TT,
Linalg,2,easy,UCSC,MATH,21,Linear Algebra,"Systems of linear equations matrices, determinants. Introduces abstract vector spaces, linear transformation, inner products, the geometry of Euclidean space, and eigenvalues.",UCLA,MATH,33A,Linear Algebra and Applications,"Introduction to linear algebra: systems of linear equations, matrix algebra, linear independence, subspaces, bases and dimension, orthogonality, least-squares methods, determinants, eigenvalues and eigenvectors, matrix diagonalization, and symmetric matrices.",TT,
Linalg,2,easy,UCD,MAT,022A,Linear Algebra,"Matrices and linear transformations, determinants, eigenvalues, eigenvectors, diagonalization, factorization.",UCSC,MATH,21,Linear Algebra,"Systems of linear equations matrices, determinants. Introduces abstract vector spaces, linear transformation, inner products, the geometry of Euclidean space, and eigenvalues.",TT,
Databases,1,mid,UCD,ECS,165A,Database Systems,"Database modeling and design (E/R model, relational model), relational algebra, query languages (SQL), file and index structures, query processing, transaction management.",UCSC,CSE,180,Database Systems I,"Introduction to the concepts, approaches, tools, and methodology of database design. Covers the entity-relationship model, the relational model, relational algebra, relational calculus, commercial languages (such as SQL and QBE), functional dependencies, normal forms, and design theory. Other topics may include knowledge-bases, constraint databases, and alternative database models. Students that have taken and passed CSE 182 may not take CSE 180 for credit.",TT,
Edu Psych,1,mid,UCLA,EDUC,127,Educational Psychology: Contexts for Teaching and Learning,"Broad overview of educational psychology, with examination of relationship of teaching and learning; various perspectives as to how children learn; issues of teaching and learning that arise based on child's social class, ethnic background, gender, age, and level of ability.",UCD,EDU,110,Educational Psychology: General,"Learning processes, cognitive development, individual differences, testing and evaluation.",TT,
Edu SocioPsych,0,negative,UCLA,EDUC,107B,"Race and Education: Access, Equity, and Achievement","Social/psychological perspective on education, with particular attention to race, ethnicity, and inequality. Study of structural, social, and personal determinants of educational outcomes. Consideration of relationship of schools to social context and other societal institutions. Examination of how education sets life trajectory in America and effects of race/ethnicity on access to educational opportunity in our society.",UCD,EDU,120,Philosophical & Social Foundations of Education,Philosophical and sociological foundations of education and schools in contemporary societies.,TT,
K12 Ethnic,2,mid,UCSC,EDUC,121,The Struggle for K-12 Ethnic Studies,"Critical analysis of the movement for K-12 ethnic studies in historical and contemporary time periods with a particular focus on the Liberated Ethnic Studies Model Curriculum. Students read, discuss, and analyze past and present K-12 ethnic studies research, policy, and practice to deepen their knowledge and strengthen their ability to critique issues in K-12 ethnic studies education while reflecting on how the concepts and questions that arise relate to their own educational experiences and lives.",UCD,EDU,155,Ethnic Studies in K-12 Schools,"Brief historical genealogy of Ethnic Studies as an interdisciplinary field, content and pedagogical knowledge of Ethnic Studies approaches in K-12 school settings and grassroots communities, and reviews the existing research of Ethnic Studies literacies in US public schools.",TT,
Gender Education,1,mid,UCSC,EDUC,135,Gender and Education,"Addresses the changing but continuing patterns of unequal expectations, opportunities, and treatment throughout the educational system for all students, female and male, who do not match a standard model of gender performance.",UCLA,EDUC,110,Gender Development in Education,"Exploration of what is known (or thought to be known) about gender, how it is known, and how it can be used to improve the lives of all youth, especially those who have been oppressed or historically excluded.",TT,
Democracy School,1,niche,UCSC,EDUC,60,"Schooling, Democracy, and Justice","Survey course exploring the foundations of public education in the United States, including: the social and political forces within schools and school systems in the U.S. the history and formation of the system and the educational policies and practices in our culturally and linguistically diverse nation.",UCLA,EDUC,113,"Democracy, Justice, and Education","Democracy, justice, and education are core ideals that define public discourse and scholarship about schooling. Exploration of these ideals from philosophical and practical perspective in context of century-old community schools movement. Global pandemic has renewed public interest in community schools framed as equity-focused anti-poverty reform to provide integrated social supports such as health, nutrition, and after-school programs. Movement also has strong democratic roots tied to local control, collective problem solving, and community-based learning--challenging ideas about who has power, how young people learn, and how teachers teach. Inquiry grounded in experience of two UCLA community schools as well as five other community school sites chosen by students. Examination of whether and how these schools are sites of social transformation by investigating contexts, theories, and practices that define their work.",TT,
